bridge_id,name,name_ja,river,length_m,deck_width_m,year_built
0,Naka-TsuruAshi-bashi,中鶴葦橋,Kamikura-gawa,156.5,26.0,2007
1,Aki-AmeYama-bashi,秋雨山橋,the bay,372.0,26.0,1990
2,Haru-NamiFuru-bashi,春波古橋,Tetsuba-unga,75.2,26.0,1983
3,Hon-MatsuGin-bashi,本松銀橋,Tetsuba-unga,74.6,26.0,1984
4,Midori-KiSuzu-bashi,緑木鈴橋,Nagare-gawa,76.9,26.0,1980
5,Naka-HaraNaga-bashi,中原長橋,Tetsuba-unga,74.7,26.0,1991
6,TsuruHara-bashi,鶴原橋,Kamikura-gawa,96.7,26.0,1965
7,Hon-IshiTetsu-bashi,本石鉄橋,Kamikura-gawa,107.0,26.0,1980
8,Ko-KumoShio-bashi,小雲潮橋,Kamikura-gawa,117.3,26.0,1956
9,Shiro-ShiroUmi-bashi,白白海橋,Kamikura-gawa,128.1,26.0,1962
10,KitaSaka-bashi,北坂橋,Kamikura-gawa,130.0,26.0,1985
11,HoshiKi-bashi,星木橋,Kamikura-gawa,105.1,26.0,1961
12,Kita-SunaSakura-bashi,北砂桜橋,Kamikura-gawa,76.9,26.0,1984
13,Aki-MinatoKita-bashi,秋港鍛橋,Kamikura-gawa,93.7,26.0,1987
14,Shiro-KiNaka-bashi,白木中橋,Kamikura-gawa,111.7,26.0,1994
15,Midori-TakeKura-bashi,緑竹倉橋,Kamikura-gawa,114.6,26.0,1977
16,Asa-MiyaTaka-bashi,朝宮高橋,Kamikura-gawa,100.1,26.0,1987
17,Ō-ShinAka-bashi,大新銅橋,Kamikura-gawa,116.7,26.0,1983
18,Ō-KiKami-bashi,大機神橋,Kamikura-gawa,106.2,26.0,1984
19,Soto-ShinSaka-bashi,外新坂橋,Kamikura-gawa,123.3,26.0,1958
20,Ō-AshiNaka-bashi,大葦中橋,Kamikura-gawa,141.1,26.0,1990
21,Hon-KiWa-bashi,本木輪橋,Kamikura-gawa,112.8,26.0,1938
22,Yū-KiTani-bashi,夕機谷橋,Kamikura-gawa,130.4,26.0,1959
23,Shimo-TakaTera-bashi,下高寺橋,Kamikura-gawa,148.3,26.0,2002
24,TsukiKami-bashi,月神橋,Kamikura-gawa,125.1,26.0,1976
25,Higashi-KamiTsuki-bashi,東神月橋,Kamikura-gawa,130.5,26.0,1966
26,Asa-KamiBashi-bashi,朝神橋橋,Kamikura-gawa,136.1,26.0,1980
27,Kurenai-AmeSaka-bashi,紅雨坂橋,Kamikura-gawa,94.0,26.0,1989
28,Ao-HigashiGin-bashi,青東銀橋,Kamikura-gawa,98.9,26.0,1967
29,Haru-BashiKami-bashi,春橋神橋,Kamikura-gawa,104.0,26.0,2000
30,Midori-TenMatsu-bashi,緑天松橋,Kamikura-gawa,109.2,26.0,2002
31,TsukiMinami-bashi,月南橋,Kamikura-gawa,114.4,26.0,1964
32,Yū-KiMinato-bashi,夕木港橋,Kamikura-gawa,186.1,26.0,1959
33,Soto-KamiMatsu-bashi,外神松橋,Kamikura-gawa,133.0,26.0,1990
34,Aki-HikariMinami-bashi,秋光南橋,Kamikura-gawa,144.1,26.0,1991
35,Soto-KiKi-bashi,外木機橋,Kamikura-gawa,398.6,26.0,1996
36,Shin-UmiMinami-bashi,新海南橋,Nagare-gawa,81.5,20.0,1990
37,Kita-ShiroFuru-bashi,北白古橋,Kamikura-gawa,129.4,20.0,1977
38,AoShima-bashi,青島橋,Kamikura-gawa,88.8,20.0,1981
