firm_id,name,name_ja,sector,size_class,employees,machi,x,y,founded,revenue_myen
0,Midori Trading,緑商店,wholesale_retail,medium,23,hikari-01,-1693.7,239.1,2021,475.6
1,Ao Trading,青商店,wholesale_retail,micro,1,hikari-01,-1876.4,263.9,1988,27.1
2,SakaAkebono Trading,坂商店,wholesale_retail,micro,1,hikari-01,-1971.8,-666.9,1987,27.4
3,NakaBashi Trading,中商店,wholesale_retail,micro,2,hikari-01,-1643.3,348.0,1985,60.1
4,Midori Trading,緑商店,wholesale_retail,medium,13,hikari-01,-1679.9,576.7,1988,301.2
5,Kita Trading,北商店,wholesale_retail,micro,1,hikari-01,-2099.1,-295.8,1993,30.6
6,HikariTen Trading,光商店,wholesale_retail,micro,1,hikari-01,-1797.0,544.3,1970,26.2
7,Haru Trading,春商店,wholesale_retail,small,6,hikari-01,-1836.5,-404.6,2012,134.5
8,Naka Trading,中商店,wholesale_retail,micro,3,hikari-01,-1799.6,-278.4,1974,78.5
9,Kami Trading,上商店,wholesale_retail,medium,14,hikari-01,-1132.3,-426.8,1996,338.9
10,Soto Trading,外商店,wholesale_retail,micro,1,hikari-01,-1886.4,200.0,2003,23.1
11,MatsuTen Trading,松商店,wholesale_retail,major,345,hikari-01,-1360.2,-155.2,1996,6483.0
12,Yū Trading,夕商店,wholesale_retail,micro,1,hikari-01,-1714.3,329.2,1959,20.6
13,Asa Trading,朝商店,wholesale_retail,micro,1,hikari-01,-1591.3,-259.3,2022,23.8
14,FuruHikari Trading,古商店,wholesale_retail,micro,2,hikari-01,-1191.7,279.5,1996,54.0
15,Shiro Trading,白商店,wholesale_retail,micro,4,hikari-01,-1185.4,-146.9,2030,112.7
16,Aki Trading,秋商店,wholesale_retail,small,9,hikari-01,-1466.5,-142.8,1992,191.7
17,Ō Trading,大商店,wholesale_retail,medium,26,hikari-01,-1175.1,-252.7,2003,703.9
18,KawaTen Trading,川商店,wholesale_retail,small,5,hikari-01,-1962.1,-172.1,2027,132.9
19,Naka Trading,中商店,wholesale_retail,medium,19,hikari-01,-1408.6,-483.0,1995,595.1
20,ShiroKumo Trading,白商店,wholesale_retail,medium,22,hikari-01,-1414.6,-349.4,1975,472.9
21,Midori Trading,緑商店,wholesale_retail,micro,1,hikari-01,-1446.3,349.3,1945,19.2
22,KiTake Trading,木商店,wholesale_retail,large,75,hikari-01,-1598.9,355.3,2028,1665.5
23,HaraTsuki Trading,原商店,wholesale_retail,medium,18,hikari-01,-1500.8,229.0,1978,372.8
24,Kurenai Trading,紅商店,wholesale_retail,large,50,hikari-01,-1734.5,-879.5,2032,1231.5
25,TaniAo Trading,谷商店,wholesale_retail,small,7,hikari-01,-1411.9,480.0,1958,214.0
26,Ko Trading,小商店,wholesale_retail,micro,1,hikari-01,-1562.5,231.6,1983,20.8
27,Asa Trading,朝商店,wholesale_retail,micro,3,hikari-01,-1695.9,493.5,1959,78.7
28,Hon Trading,本商店,wholesale_retail,small,5,hikari-01,-1877.3,273.2,1995,90.9
29,Ō Trading,大商店,wholesale_retail,micro,1,hikari-01,-1788.0,-103.5,2011,26.2
30,SakaHara Trading,坂商店,wholesale_retail,micro,4,hikari-01,-1562.5,-179.6,1990,98.9
31,Hon Trading,本商店,wholesale_retail,medium,11,hikari-01,-1925.3,-349.4,1989,329.3
32,NamiShiro Trading,波商店,wholesale_retail,micro,1,hikari-01,-1388.5,-282.3,1990,25.2
33,Nishi Trading,西商店,wholesale_retail,medium,39,hikari-01,-1669.7,589.1,2012,904.6
34,Kurenai Trading,紅商店,wholesale_retail,medium,12,hikari-01,-1991.2,26.7,1996,319.5
35,KawaKumo Trading,川商店,wholesale_retail,micro,4,hikari-01,-1334.9,-90.8,2025,118.9
36,Aki Trading,秋商店,wholesale_retail,micro,3,hikari-01,-1610.1,102.2,1959,81.0
37,Asa Trading,朝商店,wholesale_retail,micro,1,hikari-01,-1271.3,147.2,1985,23.4
38,Ao Trading,青商店,wholesale_retail,medium,14,hikari-01,-932.6,-141.7,1973,373.7
39,IkariSaka Trading,錨商店,wholesale_retail,micro,2,hikari-01,-1333.7,-431.5,1972,50.0
40,Kurenai Trading,紅商店,wholesale_retail,medium,10,hikari-01,-1314.3,-414.6,1977,291.3
41,Yū Trading,夕商店,wholesale_retail,micro,3,hikari-01,-1595.9,532.7,1983,82.1
42,Naka Trading,中商店,wholesale_retail,medium,10,hikari-01,-1077.8,-500.4,1994,195.3
43,Asa Trading,朝商店,wholesale_retail,micro,2,hikari-01,-1732.7,44.9,1961,39.2
44,Nishi Trading,西商店,wholesale_retail,micro,2,hikari-01,-1265.1,194.0,2013,52.8
45,Ao Trading,青商店,wholesale_retail,micro,3,hikari-01,-1745.5,-396.8,1977,91.4
46,Higashi Trading,東商店,wholesale_retail,micro,1,hikari-01,-1652.4,70.2,1965,27.3
47,Hon Trading,本商店,wholesale_retail,micro,1,hikari-01,-1922.9,-456.1,2010,21.5
48,Haru Trading,春商店,wholesale_retail,small,7,hikari-01,-1381.8,-116.0,2005,194.8
49,Ao Trading,青商店,wholesale_retail,small,7,hikari-01,-1414.6,-349.4,2004,192.5
50,Ao Trading,青商店,wholesale_retail,micro,2,hikari-01,-1319.9,-205.9,2005,55.1
51,Ō Trading,大商店,wholesale_retail,small,5,hikari-01,-1742.3,-430.3,2001,145.8
52,KiTani Trading,機商店,wholesale_retail,small,6,hikari-01,-1718.0,403.6,1976,178.0
53,TakaSuna Trading,高商店,wholesale_retail,micro,3,hikari-01,-1679.0,-288.0,1951,80.8
54,Minami Trading,南商店,wholesale_retail,micro,2,hikari-01,-1813.2,-369.9,1991,59.5
55,Minami Trading,南商店,wholesale_retail,medium,42,hikari-01,-1520.0,-98.3,2000,1173.1
56,Kurenai Trading,紅商店,wholesale_retail,small,8,hikari-01,-1722.0,-36.6,2024,151.9
57,Ko Trading,小商店,wholesale_retail,medium,16,hikari-01,-1341.7,-656.6,1984,302.8
58,Yū Trading,夕商店,wholesale_retail,micro,4,hikari-01,-1629.1,350.4,1941,105.6
59,Midori Trading,緑商店,wholesale_retail,micro,1,hikari-01,-1539.9,-967.9,1987,20.5
60,Hon Trading,本商店,wholesale_retail,micro,1,hikari-01,-1866.4,411.9,2001,18.4
61,Ko Trading,小商店,wholesale_retail,micro,1,hikari-01,-1549.6,-402.3,2006,22.6
62,Higashi Trading,東商店,wholesale_retail,medium,31,hikari-01,-2017.0,-38.8,1957,636.5
63,Hon Trading,本商店,wholesale_retail,micro,2,hikari-01,-1607.2,-314.8,1986,52.9
64,Asa Trading,朝商店,wholesale_retail,micro,1,hikari-01,-1486.2,-12.9,1960,24.2
