mid,name_romaji,district_id,dwellings,vacant,occupied,population,households,age_0_5,age_6_14,age_15_17,age_18_24,age_25_44,age_45_64,age_65_p,age_65p,workforce,jobs,mean_household_income_myen,gini,poverty_rate,single_households,elderly_alone,floor_m2,floor_per_capita,land_value_myen_per_sqm,rent_2ldk_kyen,vacancy_rate,accessibility,jobs_by_sector
hikari-01,TaniUmi-machi,hikari,9426,1032,8394,19038,8394,0.0185,0.0388,0.0398,0.0888,0.2646,0.2993,0.2502,0.2131,12789,25891,5.7702,0.3134,0.1225,2518,714,2132515.8037,112.0136,0.1063,62.2334,0.1094,0.3273,accommodation_food=1454;agriculture_forestry=691;arts_recreation=482;construction=1624;education=1270;finance_insurance=1888;healthcare_welfare=3279;ict=2152;manufacturing=1039;mining=120;other_services=220;professional=2602;public_admin=1660;transport_postal=1741;utilities=335;wholesale_retail=5334
hikari-02,Ō-KitaTani-machi,hikari,13533,1164,12369,25995,12369,0.0217,0.038,0.0416,0.1405,0.2671,0.3078,0.1833,0.1519,18242,28841,7.6766,0.3362,0.1142,4957,771,2315258.9327,89.0655,0.2102,97.6814,0.086,0.5816,accommodation_food=1632;agriculture_forestry=745;arts_recreation=516;construction=1839;education=1413;finance_insurance=2094;healthcare_welfare=3697;ict=2349;manufacturing=1157;mining=137;other_services=275;professional=2777;public_admin=1842;transport_postal=1934;utilities=372;wholesale_retail=6062
hikari-03,Higashi-YamaNaga-machi,hikari,12416,1139,11277,24165,11277,0.0176,0.0312,0.0397,0.1171,0.2542,0.2985,0.2417,0.2064,16325,33119,7.0659,0.3289,0.1171,4090,927,2767310.0932,114.5173,0.1769,86.3257,0.0918,0.4892,accommodation_food=1823;agriculture_forestry=874;arts_recreation=617;construction=2100;education=1666;finance_insurance=2366;healthcare_welfare=4257;ict=2721;manufacturing=1383;mining=145;other_services=308;professional=3318;public_admin=2083;transport_postal=2240;utilities=414;wholesale_retail=6804
hikari-04,Higashi-TakeTera-machi,hikari,8641,962,7679,16622,7679,0.0235,0.0439,0.0408,0.0913,0.2737,0.3048,0.222,0.1857,11376,22019,5.6277,0.3117,0.1242,2304,580,1876195.7355,112.8742,0.0985,59.584,0.1114,0.3161,accommodation_food=1157;agriculture_forestry=626;arts_recreation=402;construction=1379;education=1114;finance_insurance=1511;healthcare_welfare=2797;ict=1822;manufacturing=953;mining=93;other_services=198;professional=2125;public_admin=1447;transport_postal=1461;utilities=301;wholesale_retail=4633
hikari-05,Ko-WaAkebono-machi,hikari,9413,848,8565,17811,8565,0.0218,0.0386,0.0421,0.1246,0.2708,0.3115,0.1905,0.156,12442,22549,7.1873,0.3304,0.1145,3117,555,1740106.965,97.6984,0.1835,88.5832,0.0901,0.492,accommodation_food=1209;agriculture_forestry=590;arts_recreation=415;construction=1467;education=1144;finance_insurance=1580;healthcare_welfare=2781;ict=1860;manufacturing=957;mining=98;other_services=217;professional=2287;public_admin=1400;transport_postal=1542;utilities=290;wholesale_retail=4712
hikari-06,Shin-NakaSuna-machi,hikari,13257,1140,12117,26404,12117,0.0173,0.0323,0.0394,0.1484,0.2519,0.2944,0.2163,0.1873,18139,35400,8.3513,0.345,0.1158,5272,891,2951959.9651,111.7997,0.2661,116.756,0.086,0.6798,accommodation_food=1907;agriculture_forestry=967;arts_recreation=598;construction=2251;education=1757;finance_insurance=2466;healthcare_welfare=4416;ict=2940;manufacturing=1539;mining=156;other_services=353;professional=3398;public_admin=2303;transport_postal=2442;utilities=437;wholesale_retail=7470
hikari-07,Shin-TsukiNami-machi,hikari,15826,1361,14465,32279,14465,0.0166,0.0287,0.0376,0.1646,0.2397,0.2826,0.2302,0.2077,21974,40140,8.3513,0.345,0.1165,7063,1132,3359195.1032,104.0675,0.3754,154.0109,0.086,0.8656,accommodation_food=2195;agriculture_forestry=1087;arts_recreation=757;construction=2452;education=2011;finance_insurance=2749;healthcare_welfare=5080;ict=3381;manufacturing=1674;mining=177;other_services=355;professional=3890;public_admin=2592;transport_postal=2759;utilities=503;wholesale_retail=8478
hikari-08,Hon-MiyaWa-machi,hikari,5287,455,4832,10115,4832,0.0176,0.0337,0.0402,0.1387,0.2574,0.3,0.2124,0.1805,6967,15477,8.3487,0.3443,0.1156,1966,349,1248390.0817,123.4197,0.2469,110.1775,0.086,0.5978,accommodation_food=800;agriculture_forestry=445;arts_recreation=281;construction=994;education=771;finance_insurance=1056;healthcare_welfare=1907;ict=1317;manufacturing=692;mining=71;other_services=149;professional=1589;public_admin=1026;transport_postal=960;utilities=226;wholesale_retail=3193
hikari-09,MinamiAshi-machi,hikari,4197,361,3836,8817,3836,0.0208,0.0372,0.0415,0.1366,0.2661,0.3074,0.1904,0.158,6159,11292,8.0977,0.3413,0.1145,1509,248,922277.7292,104.6022,0.2332,105.5109,0.086,0.5623,accommodation_food=614;agriculture_forestry=312;arts_recreation=217;construction=722;education=543;finance_insurance=825;healthcare_welfare=1392;ict=982;manufacturing=503;mining=49;other_services=102;professional=1047;public_admin=763;transport_postal=761;utilities=131;wholesale_retail=2329
hikari-10,Ko-TenHigashi-machi,hikari,3202,275,2927,6315,2927,0.0175,0.0316,0.0397,0.133,0.2534,0.2972,0.2277,0.1954,4306,8080,8.0455,0.3407,0.1164,1166,227,618824.2402,97.9928,0.2303,104.5409,0.086,0.5753,accommodation_food=445;agriculture_forestry=202;arts_recreation=152;construction=520;education=372;finance_insurance=613;healthcare_welfare=1067;ict=663;manufacturing=309;mining=39;other_services=65;professional=794;public_admin=524;transport_postal=542;utilities=101;wholesale_retail=1672
