origin_machi,dest_machi,trips,origin_name,dest_name
higashi-01,hikari-06,10753.36,Kita-FuruTsuki-machi,Shin-NakaSuna-machi
higashi-01,hikari-07,10721.06,Kita-FuruTsuki-machi,Shin-TsukiNami-machi
hikari-07,hikari-07,8237.99,Shin-TsukiNami-machi,Shin-TsukiNami-machi
hikari-03,hikari-03,5950.16,Higashi-YamaNaga-machi,Higashi-YamaNaga-machi
hikari-06,hikari-06,5806.15,Shin-NakaSuna-machi,Shin-NakaSuna-machi
higashi-01,hikari-02,5668.54,Kita-FuruTsuki-machi,Ō-KitaTani-machi
higashi-01,hikari-03,5384.5,Kita-FuruTsuki-machi,Higashi-YamaNaga-machi
hikari-02,hikari-02,4620.0,Ō-KitaTani-machi,Ō-KitaTani-machi
hikari-01,hikari-01,4514.65,TaniUmi-machi,TaniUmi-machi
naka-10,hikari-03,4152.17,Higashi-NamiShio-machi,Higashi-YamaNaga-machi
naka-10,hikari-07,3498.32,Higashi-NamiShio-machi,Shin-TsukiNami-machi
hikari-06,hikari-07,3488.63,Shin-NakaSuna-machi,Shin-TsukiNami-machi
hikari-04,hikari-04,3306.93,Higashi-TakeTera-machi,Higashi-TakeTera-machi
higashi-01,hikari-01,3196.63,Kita-FuruTsuki-machi,TaniUmi-machi
naka-08,hikari-03,3168.32,Yū-HigashiAo-machi,Higashi-YamaNaga-machi
hikari-02,hikari-07,3114.28,Ō-KitaTani-machi,Shin-TsukiNami-machi
naka-07,hikari-07,2955.05,Shiro-ShioSaka-machi,Shin-TsukiNami-machi
hikari-07,hikari-03,2865.89,Shin-TsukiNami-machi,Higashi-YamaNaga-machi
naka-08,hikari-07,2857.63,Yū-HigashiAo-machi,Shin-TsukiNami-machi
naka-03,hikari-07,2848.93,KamiSuzu-machi,Shin-TsukiNami-machi
higashi-01,hikari-05,2795.09,Kita-FuruTsuki-machi,Ko-WaAkebono-machi
higashi-01,hikari-04,2769.7,Kita-FuruTsuki-machi,Higashi-TakeTera-machi
higashi-01,naka-05,2758.13,Kita-FuruTsuki-machi,AkebonoMiya-machi
naka-07,hikari-03,2660.12,Shiro-ShioSaka-machi,Higashi-YamaNaga-machi
higashi-01,hikari-08,2448.84,Kita-FuruTsuki-machi,Hon-MiyaWa-machi
naka-05,hikari-03,2433.92,AkebonoMiya-machi,Higashi-YamaNaga-machi
hikari-07,hikari-06,2425.66,Shin-TsukiNami-machi,Shin-NakaSuna-machi
hikari-03,hikari-07,2407.07,Higashi-YamaNaga-machi,Shin-TsukiNami-machi
naka-10,tsukimachi-04,2308.6,Higashi-NamiShio-machi,Kurenai-HikariKura-machi
naka-05,hikari-07,2296.2,AkebonoMiya-machi,Shin-TsukiNami-machi
hikari-05,hikari-05,2291.57,Ko-WaAkebono-machi,Ko-WaAkebono-machi
hikari-02,hikari-06,2223.28,Ō-KitaTani-machi,Shin-NakaSuna-machi
tsukimachi-04,tsukimachi-04,2168.63,Kurenai-HikariKura-machi,Kurenai-HikariKura-machi
hikari-06,hikari-02,2146.43,Shin-NakaSuna-machi,Ō-KitaTani-machi
hikari-07,hikari-02,2090.53,Shin-TsukiNami-machi,Ō-KitaTani-machi
hikari-02,hikari-03,2072.64,Ō-KitaTani-machi,Higashi-YamaNaga-machi
naka-10,naka-05,2042.08,Higashi-NamiShio-machi,AkebonoMiya-machi
hikari-05,hikari-03,1982.5,Ko-WaAkebono-machi,Higashi-YamaNaga-machi
hikari-04,hikari-01,1978.69,Higashi-TakeTera-machi,TaniUmi-machi
naka-05,naka-05,1962.48,AkebonoMiya-machi,AkebonoMiya-machi
naka-03,hikari-03,1889.29,KamiSuzu-machi,Higashi-YamaNaga-machi
hikari-05,hikari-07,1873.15,Ko-WaAkebono-machi,Shin-TsukiNami-machi
hikari-05,hikari-01,1823.61,Ko-WaAkebono-machi,TaniUmi-machi
tetsuba-02,hikari-07,1822.11,MinamiNaka-machi,Shin-TsukiNami-machi
hikari-02,hikari-01,1817.92,Ō-KitaTani-machi,TaniUmi-machi
higashi-03,hikari-07,1801.72,Yū-HikariTani-machi,Shin-TsukiNami-machi
hikari-06,hikari-03,1765.17,Shin-NakaSuna-machi,Higashi-YamaNaga-machi
minami-06,hikari-07,1764.07,Kurenai-MinatoKura-machi,Shin-TsukiNami-machi
naka-10,hikari-01,1747.69,Higashi-NamiShio-machi,TaniUmi-machi
tetsuba-02,hikari-06,1737.99,MinamiNaka-machi,Shin-NakaSuna-machi
hikari-01,hikari-03,1719.49,TaniUmi-machi,Higashi-YamaNaga-machi
