id,kind,x,y,district,machi,jobs,capacity,floors,footprint_m2
poi00000,convenience,-6522.3,2783.0,nishi,nishi-03,7,0,1,180.0
poi00001,convenience,-6522.3,2783.0,nishi,nishi-03,7,0,1,180.0
poi00002,shop_street,-5757.9,2513.5,nishi,nishi-03,21,0,1,900.0
poi00003,school_junior_high,-6083.1,2742.4,nishi,nishi-03,44,620,3,5200.0
poi00004,clinic,-6180.2,2690.3,nishi,nishi-03,9,0,2,420.0
poi00005,clinic,-5827.1,2032.1,nishi,nishi-03,9,0,2,420.0
poi00006,shrine,-6362.0,2161.7,nishi,nishi-03,2,0,1,700.0
poi00007,park,-5722.7,2336.4,nishi,nishi-03,2,0,0,4800.0
poi00008,shop_street,-4627.5,2885.0,tsukimachi,tsukimachi-03,6,0,1,900.0
poi00009,bank,-4627.5,2885.0,tsukimachi,tsukimachi-03,14,0,3,900.0
poi00010,police_box,-4992.1,2844.8,tsukimachi,tsukimachi-03,6,0,1,140.0
poi00011,petrol,-4992.1,2844.8,tsukimachi,tsukimachi-03,5,0,1,1100.0
poi00012,convenience,-3769.1,2949.8,tsukimachi,tsukimachi-01,7,0,1,180.0
poi00013,convenience,-3769.1,2949.8,tsukimachi,tsukimachi-01,7,0,1,180.0
poi00014,shop_street,-2936.0,2880.0,tsukimachi,tsukimachi-01,17,0,1,900.0
poi00015,school_junior_high,-3224.2,2835.1,tsukimachi,tsukimachi-01,44,620,3,5200.0
poi00016,clinic,-3614.6,3300.2,tsukimachi,tsukimachi-01,9,0,2,420.0
poi00017,shrine,-3139.1,2892.9,tsukimachi,tsukimachi-01,2,0,1,700.0
poi00018,park,-3970.1,2760.9,tsukimachi,tsukimachi-01,2,0,0,4800.0
poi00019,convenience,-3033.6,3911.0,tsukimachi,tsukimachi-04,7,0,1,180.0
poi00020,convenience,-3033.6,3911.0,tsukimachi,tsukimachi-04,7,0,1,180.0
poi00021,convenience,-3033.6,3911.0,tsukimachi,tsukimachi-04,7,0,1,180.0
poi00022,convenience,-3033.6,3911.0,tsukimachi,tsukimachi-04,7,0,1,180.0
poi00023,convenience,-3033.6,3911.0,tsukimachi,tsukimachi-04,7,0,1,180.0
poi00024,shop_street,-2047.9,4072.1,tsukimachi,tsukimachi-04,40,0,1,900.0
poi00025,school_primary,-2708.1,3763.8,tsukimachi,tsukimachi-04,28,520,3,3400.0
poi00026,school_junior_high,-1934.3,3762.2,tsukimachi,tsukimachi-04,44,620,3,5200.0
poi00027,clinic,-1887.8,4160.0,tsukimachi,tsukimachi-04,9,0,2,420.0
poi00028,clinic,-1984.4,3653.9,tsukimachi,tsukimachi-04,9,0,2,420.0
poi00029,clinic,-2746.6,3701.8,tsukimachi,tsukimachi-04,9,0,2,420.0
poi00030,shrine,-2162.4,4335.0,tsukimachi,tsukimachi-04,2,0,1,700.0
poi00031,bank,-1913.2,4013.2,tsukimachi,tsukimachi-04,14,0,3,900.0
poi00032,post_office,-1913.2,4013.2,tsukimachi,tsukimachi-04,11,0,2,650.0
poi00033,petrol,-3033.6,3911.0,tsukimachi,tsukimachi-04,5,0,1,1100.0
poi00034,parking,-3033.6,3911.0,tsukimachi,tsukimachi-04,6,0,5,2600.0
poi00035,convenience,-645.7,2273.8,naka,naka-05,7,0,1,180.0
poi00036,convenience,-645.7,2273.8,naka,naka-05,7,0,1,180.0
poi00037,convenience,-645.7,2273.8,naka,naka-05,7,0,1,180.0
poi00038,convenience,-645.7,2273.8,naka,naka-05,7,0,1,180.0
poi00039,convenience,-645.7,2273.8,naka,naka-05,7,0,1,180.0
poi00040,convenience,-645.7,2273.8,naka,naka-05,7,0,1,180.0
poi00041,shop_street,235.7,2258.6,naka,naka-05,55,0,1,900.0
poi00042,school_primary,-588.7,2153.5,naka,naka-05,28,520,3,3400.0
poi00043,school_junior_high,366.2,1693.7,naka,naka-05,44,620,3,5200.0
poi00044,clinic,759.5,1881.1,naka,naka-05,9,0,2,420.0
poi00045,clinic,1212.1,2185.2,naka,naka-05,9,0,2,420.0
poi00046,clinic,984.2,1868.8,naka,naka-05,9,0,2,420.0
poi00047,shrine,773.3,1798.0,naka,naka-05,2,0,1,700.0
poi00048,post_office,-280.3,2166.2,naka,naka-05,11,0,2,650.0
poi00049,petrol,-645.7,2273.8,naka,naka-05,5,0,1,1100.0
poi00050,convenience,162.0,1476.7,hikari,hikari-07,7,0,1,180.0
poi00051,convenience,162.0,1476.7,hikari,hikari-07,7,0,1,180.0
poi00052,convenience,162.0,1476.7,hikari,hikari-07,7,0,1,180.0
poi00053,convenience,162.0,1476.7,hikari,hikari-07,7,0,1,180.0
poi00054,convenience,162.0,1476.7,hikari,hikari-07,7,0,1,180.0
poi00055,convenience,162.0,1476.7,hikari,hikari-07,7,0,1,180.0
poi00056,convenience,162.0,1476.7,hikari,hikari-07,7,0,1,180.0
poi00057,convenience,162.0,1476.7,hikari,hikari-07,7,0,1,180.0
poi00058,convenience,162.0,1476.7,hikari,hikari-07,7,0,1,180.0
poi00059,convenience,162.0,1476.7,hikari,hikari-07,7,0,1,180.0
poi00060,convenience,162.0,1476.7,hikari,hikari-07,7,0,1,180.0
poi00061,convenience,162.0,1476.7,hikari,hikari-07,7,0,1,180.0
poi00062,convenience,162.0,1476.7,hikari,hikari-07,7,0,1,180.0
poi00063,shop_street,1179.6,715.1,hikari,hikari-07,107,0,1,900.0
poi00064,school_primary,1153.3,1086.8,hikari,hikari-07,28,520,3,3400.0
poi00065,school_primary,707.4,1330.5,hikari,hikari-07,28,520,3,3400.0
poi00066,school_junior_high,1402.3,1137.3,hikari,hikari-07,44,620,3,5200.0
poi00067,clinic,288.0,1438.9,hikari,hikari-07,9,0,2,420.0
poi00068,clinic,1008.3,756.8,hikari,hikari-07,9,0,2,420.0
poi00069,clinic,139.8,810.8,hikari,hikari-07,9,0,2,420.0
poi00070,clinic,19.7,1687.2,hikari,hikari-07,9,0,2,420.0
poi00071,clinic,703.0,850.7,hikari,hikari-07,9,0,2,420.0
poi00072,clinic,931.3,1316.8,hikari,hikari-07,9,0,2,420.0
poi00073,clinic,903.7,835.1,hikari,hikari-07,9,0,2,420.0
poi00074,shrine,1251.9,1109.4,hikari,hikari-07,2,0,1,700.0
poi00075,bank,951.9,1416.4,hikari,hikari-07,14,0,3,900.0
poi00076,police_box,162.0,1476.7,hikari,hikari-07,6,0,1,140.0
poi00077,petrol,162.0,1476.7,hikari,hikari-07,5,0,1,1100.0
poi00078,parking,162.0,1476.7,hikari,hikari-07,6,0,5,2600.0
