station_id,name,name_ja,kind,lines,platforms,daily_boardings,catchment_pop,catchment_jobs,opened,x,y,lon,lat
st000,Naka-NagaTake-eki,中長竹駅,rail,1,3,3049,3920,1,1901,-6794.5,2582.4,138.3673,34.8305
st001,Shimo-TakeTsuki-eki,下竹月駅,rail,1,3,3743,6054,14,1901,-5865.7,2796.0,138.3775,34.8324
st002,Kita-NakaGin-eki,北中銀駅,rail,1,3,3264,5075,2479,1901,-4236.5,2883.2,138.3954,34.8332
st003,Asa-WaYoi-eki,朝輪宵駅,rail,2,3,6453,8556,3612,1901,-3314.2,3206.2,138.4055,34.8361
st004,Soto-AkebonoShin-eki,外曙新駅,rail,1,3,10246,20953,24270,1901,-1491.0,1384.4,138.4255,34.8197
st005,Asa-TaniYama-eki,朝谷山駅,rail,1,3,12765,41139,50275,1901,-534.0,1456.7,138.436,34.8203
st006,Soto-TakaHikari-eki,外高光駅,rail,3,3,12017,49141,58047,1901,489.7,930.3,138.4473,34.8156
st007,Soto-YamaNaka-eki,外山中駅,rail,2,3,9279,34587,39422,1901,888.4,1983.5,138.4517,34.8251
st008,Kurenai-KiSuzu-eki,紅機鈴駅,rail,1,3,7797,32953,35624,1901,1569.4,1719.0,138.4591,34.8227
st009,Minami-ShimaMinami-eki,南島南駅,rail,2,3,9364,37415,34981,1901,2316.2,834.4,138.4673,34.8147
st010,Ko-ShinNami-eki,小新波駅,rail,1,3,6630,24225,16444,1901,2693.5,100.2,138.4715,34.8081
st011,Aki-ShiroTera-eki,秋白寺駅,rail,1,3,1713,3349,3264,1932,-2083.8,2840.0,138.419,34.8328
st012,Shin-KamiBashi-eki,新神橋駅,rail,1,3,8030,22207,23311,1932,-1087.1,2048.5,138.43,34.8257
st013,Kurenai-NagaIkari-eki,紅長錨駅,rail,1,3,9490,33454,31898,1932,-272.6,2257.5,138.4389,34.8275
st014,Shin-TeraSuzu-eki,新寺鈴駅,rail,3,3,5914,27388,14922,1932,2213.9,2456.4,138.4662,34.8293
st015,Minami-WaTake-eki,南輪竹駅,rail,1,3,6073,26504,26151,1932,2451.5,1578.4,138.4688,34.8214
st016,Kita-NamiKawa-eki,北波川駅,rail,2,3,4319,20427,1841,1932,3569.9,1365.4,138.4811,34.8195
st017,Shiro-IshiAshi-eki,白石葦駅,rail,1,3,5694,23783,1184,1932,4296.0,773.8,138.4891,34.8142
st018,Naka-KiMatsu-eki,中木松駅,rail,1,3,6321,18374,553,1932,5226.5,-24.6,138.4993,34.807
st019,Naka-KuraKita-eki,中倉鍛駅,rail,1,3,2177,4978,0,1932,5796.4,-723.2,138.5055,34.8007
st020,Ao-WaAka-eki,青輪銅駅,rail,2,3,7121,27958,27554,1954,1327.0,2226.0,138.4565,34.8273
st021,Higashi-KitaMatsu-eki,東北松駅,rail,1,3,2342,9660,727,1954,3074.7,3178.8,138.4757,34.8359
st022,Ō-TsukiIkari-eki,大月錨駅,rail,1,3,3583,6773,426,1954,3466.6,4413.1,138.48,34.847
st023,Haru-IshiUmi-eki,春石海駅,rail,1,3,3356,5434,0,1954,3888.1,5223.3,138.4846,34.8543
st024,Minami-SakuraAo-eki,南桜青駅,metro,1,2,12816,40207,46277,1978,969.6,1401.7,138.4525,34.8198
st025,Yū-AoShin-eki,夕青新駅,metro,2,2,17673,42877,51823,1978,-4.6,1478.6,138.4418,34.8205
st026,Ō-SakaHara-eki,大坂原駅,metro,2,2,11625,36790,41368,1978,436.0,2130.9,138.4467,34.8264
st027,Shin-AshiNaka-eki,新葦中駅,metro,2,2,8812,31211,16040,1978,822.7,2883.9,138.4509,34.8332
st028,Asa-ShiroKumo-eki,朝白雲駅,metro,1,2,15545,46143,53234,1978,1234.8,807.0,138.4555,34.8145
st029,Naka-TsukiTetsu-eki,中月鉄駅,metro,1,2,8170,29677,25941,1978,2625.9,1153.3,138.4707,34.8176
st030,Haru-UmiShiro-eki,春海白駅,metro,1,2,5622,20449,628,1978,3913.7,1107.5,138.4849,34.8172
st031,Hon-NakaYama-eki,本中山駅,metro,1,2,8005,22826,673,1978,4885.9,597.9,138.4955,34.8126
st032,Minami-TakaMinami-eki,南高南駅,ferry,1,2,14975,58492,10863,1961,3900.0,300.0,138.4847,34.8099
st033,Yū-TaniHigashi-eki,夕谷東駅,ferry,1,2,120,0,0,1961,600.0,-3300.0,138.4485,34.7775
st034,Kita-SakuraMatsu-eki,北桜松駅,ferry,1,2,5399,5142,0,1961,-5200.0,-4400.0,138.3848,34.7675
