street_id,name,name_ja,klass,length_m,width_m,lanes,speed_kmh,oneway,centrality
0,Ō-SuzuKi-dōri,大鈴機通り,arterial,3.5,19.0,4,50.0,False,0.0
1,Ō-SuzuKi-dōri,大鈴機通り,arterial,7.1,19.0,4,50.0,False,0.0005
2,Ō-SuzuKi-dōri,大鈴機通り,arterial,10.6,19.0,4,50.0,False,0.0006
3,Ō-SuzuKi-dōri,大鈴機通り,arterial,14.1,19.0,4,50.0,False,0.0006
4,Ō-SuzuKi-dōri,大鈴機通り,arterial,14.1,19.0,4,50.0,False,0.0007
5,Ō-SuzuKi-dōri,大鈴機通り,arterial,14.1,19.0,4,50.0,False,0.0007
6,Ō-SuzuKi-dōri,大鈴機通り,arterial,14.1,19.0,4,50.0,False,0.0007
7,Ō-SuzuKi-dōri,大鈴機通り,arterial,14.1,19.0,4,50.0,False,0.0008
8,Ō-SuzuKi-dōri,大鈴機通り,arterial,12.5,19.0,4,50.0,False,0.0008
9,Ō-SuzuKi-dōri,大鈴機通り,arterial,11.2,19.0,4,50.0,False,0.0008
10,Ō-SuzuKi-dōri,大鈴機通り,arterial,10.3,19.0,4,50.0,False,0.0009
11,Ō-SuzuKi-dōri,大鈴機通り,arterial,10.0,19.0,4,50.0,False,0.0009
12,Ō-SuzuKi-dōri,大鈴機通り,arterial,10.0,19.0,4,50.0,False,0.0009
13,Ō-SuzuKi-dōri,大鈴機通り,arterial,10.0,19.0,4,50.0,False,0.001
14,Ō-SuzuKi-dōri,大鈴機通り,arterial,10.0,19.0,4,50.0,False,0.001
15,Ō-SuzuKi-dōri,大鈴機通り,arterial,10.0,19.0,4,50.0,False,0.0011
16,Ō-SuzuKi-dōri,大鈴機通り,arterial,10.0,19.0,4,50.0,False,0.0011
17,Ō-SuzuKi-dōri,大鈴機通り,arterial,10.0,19.0,4,50.0,False,0.0011
18,Ō-SuzuKi-dōri,大鈴機通り,arterial,10.0,19.0,4,50.0,False,0.0012
19,Ō-SuzuKi-dōri,大鈴機通り,arterial,10.0,19.0,4,50.0,False,0.0012
20,Ō-SuzuKi-dōri,大鈴機通り,arterial,10.0,19.0,4,50.0,False,0.0013
21,Ō-SuzuKi-dōri,大鈴機通り,arterial,10.0,19.0,4,50.0,False,0.0013
